pose,left_elbow,right_elbow,left_shoulder,right_shoulder,left_hip,right_hip,left_knee,right_knee
Vrikshasana,174.82830247852658,166.76009536255702,164.00360956645164,165.52451773112972,82.48964811346164,164.1869229588261,53.02272322533828,176.4187870382821
Vrikshasana,172.89919305497426,167.88173643455852,165.03518379890264,164.22233548343158,102.66030697561216,178.7634472418082,55.74007473801637,173.7035376855838
Vrikshasana,175.212504704495,167.246704395026,165.02760241045817,157.60059271210997,100.15137636454739,167.91442273357634,61.780330709392246,177.227352589656
Vrikshasana,170.43003306702136,170.88719869707063,162.2584734844268,160.92355251491261,106.12732611595989,174.5849260180473,69.1331808069637,175.96792491807693
Vrikshasana,169.9265436255708,168.11736363051273,162.92783538060397,167.03177834176714,100.86052542345125,166.95906113822483,45.404150274470084,180.0
Vrikshasana,177.45952502722065,176.25892560983118,152.67592234169044,159.85729058453376,103.16685809140728,173.31213158037409,58.97143022358552,179.1179777438734
Vrikshasana,177.07348137843138,173.40547441693334,160.31295518951987,163.0503058067083,87.42844180144334,170.0819727018562,48.23701876565764,174.8056107587833
Vrikshasana,171.3491464926399,180.0,151.07335107445405,165.74622683673184,85.17130228384195,169.99068982008535,53.30202452084004,180.0
Vrikshasana,177.26735947875713,177.76008341119956,155.2101994220125,154.30118565868347,110.57975881257154,170.85217405071032,41.79450941329662,172.3335639299826
Vrikshasana,167.48328628399034,175.98296446432258,159.1394058885645,163.52388283254214,97.72747353663466,172.9512381464603,57.004723151738695,176.4532673013988
Vrikshasana,175.74065142534448,169.0284443536001,155.09556922747942,154.94609684801335,90.0416035441096,174.9218348847135,48.24478127837821,178.06247059363844
Vrikshasana,175.88447995343546,175.67918705617967,163.32308087178228,157.2121161239246,97.76701687955847,171.52169073456162,38.50132452833576,170.76443763788455
Vrikshasana,165.06380232587358,167.0165190343911,161.1981938137875,150.7561675571195,98.21837445960611,179.79536978671638,49.14988823150859,180.0
Vrikshasana,167.39829391994073,171.76737465279422,150.39982356071536,155.2877353927955,110.40308137457396,161.6360774608459,55.47538914836686,179.18867801166138
Vrikshasana,169.43510026581924,164.32365287366926,158.57703606171097,153.76405832748958,104.32676211354703,172.13111287314067,64.81423113056732,176.80322186263487
Vrikshasana,166.8590150442688,174.0756538097379,159.75997347177412,168.8735006019235,110.35111245914578,174.14122635489704,63.706423129756494,172.05618472838574
Vrikshasana,169.16149080350152,167.44054435156684,154.88152157475386,146.98651081954952,108.35150946814404,170.66666381740737,40.23354964397873,172.9221045939623
Vrikshasana,174.88108308470117,178.0287594073663,173.9738471335343,180.0,106.14409433275996,166.06277127980883,34.943629754149526,179.33855731171917
Vrikshasana,168.12235342813804,170.5078564389219,153.10322560752152,156.8736729086689,112.65980230787643,172.94229140467206,50.730921303690494,172.82173123587094
Vrikshasana,162.95190233177385,170.08215254556,157.56973959345345,172.14343930863907,103.30274521472886,177.89643706613833,48.00563521168678,172.07528116791488
Vrikshasana,167.20929942660578,168.6486436127855,175.0277578594813,151.42890656620492,110.38489203736344,166.58243693147784,59.45258410299395,179.9247548305293
Vrikshasana,172.06017261405145,172.7554248431874,152.76169843656487,161.56857761185665,97.4501651965922,164.6463654173965,41.77649940544305,178.8629395886106
Vrikshasana,180.0,173.95994968144063,157.05089339112095,160.28660911682033,115.06001741706825,173.31629500818315,48.7125821533301,180.0
Vrikshasana,175.57253863076969,180.0,159.46587549777524,148.204247746236,88.31840800754335,180.0,65.78932576626637,177.102403933587
Vrikshasana,170.70087607318408,180.0,149.1436345436521,150.8421838483534,108.43326794689044,169.63236926284247,51.95902506623943,177.18278550737745
Vrikshasana,175.02544729279361,180.0,158.72467925521397,163.15151034621488,81.49827898968977,171.7076895884193,45.25415783765703,171.90593469788186
Vrikshasana,167.7310857984275,170.99525935579513,165.3272203388481,147.38885825808347,102.30631492594418,169.09498339999854,49.378615245104314,180.0
Vrikshasana,176.22869262202354,180.0,156.7639545660008,152.43245910663438,99.761411831195,173.45498074762733,53.412586867629685,172.57805963883317
Vrikshasana,173.54293868976725,174.36936998083343,178.13979230027135,173.01475689025335,93.4675664944118,170.27569983070495,40.292463985303975,175.04646493018257
Vrikshasana,174.89363002154204,180.0,152.16732929805113,152.76682847945762,80.52710970261344,171.02400447673057,43.5006847051235,175.35280286316964
Vrikshasana,167.73883533099448,172.43442467448466,143.93817286914694,146.26363803687207,123.29247112028298,164.27546451235582,43.225715372362885,180.0
Vrikshasana,180.0,165.97060022704795,155.05400834569576,160.73244440752407,119.28697644405592,166.07885752943056,50.03777723246312,180.0
Vrikshasana,175.6085964467997,170.7430635726194,156.92941628387166,147.00083353304015,99.61826256025334,170.40167505994626,53.85735911701005,175.22336390590493
Vrikshasana,175.82923113527085,179.07629490691897,159.24343462134772,160.81405126719363,102.53155347577868,172.00050635854848,46.22753573165722,179.58247130836654
Vrikshasana,172.41628040951906,180.0,170.58683921980193,161.086772420452,94.36942790305233,165.3255311680995,61.52914362471092,179.3137461257357
Vrikshasana,175.88086042034968,162.53248407815485,165.41950785246544,161.6353627057149,90.89569315585521,169.1708511553003,54.10973763485216,178.26233399178122
Vrikshasana,171.24697288517868,172.37907039160424,155.98418097434492,159.22050009681976,116.71491972993157,156.60004935441222,50.10519788392253,178.88256210686222
